Wavelength (nm);Pulsation (Prad);Spectral intensity (arb. u.);Spectral phase (rad);Phase fit (rad)
1037.8083;1.81503;0;;
1037.70468;1.81521;0;;
1037.60108;1.81539;0;;
1037.4975;1.81557;0;;
1037.39394;1.81575;0;;
1037.29041;1.81593;0;;
1037.18689;1.81612;0;;
1037.08339;1.8163;0;;
1036.97992;1.81648;0;;
1036.87646;1.81666;0;;
1036.77303;1.81684;0;;
1036.66962;1.81702;0;;
1036.56622;1.8172;0;;
1036.46285;1.81738;0;;
1036.3595;1.81757;0;;
1036.25617;1.81775;0;;
1036.15286;1.81793;0;;
1036.04957;1.81811;0;;
1035.9463;1.81829;0;;
1035.84305;1.81847;0;;
1035.73983;1.81865;0;;
1035.63662;1.81883;0;;
1035.53343;1.81902;0;;
1035.43027;1.8192;0;;
1035.32712;1.81938;0;;
1035.22399;1.81956;0;;
1035.12089;1.81974;0;;
1035.01781;1.81992;0;;
1034.91474;1.8201;0;;
1034.8117;1.82028;0;;
1034.70868;1.82047;0;;
1034.60568;1.82065;0;;
1034.50269;1.82083;0;;
1034.39973;1.82101;0;;
1034.29679;1.82119;0.00001;;
1034.19387;1.82137;0.00001;;
1034.09097;1.82155;0.00001;;
1033.98809;1.82173;0.00003;;
1033.88524;1.82192;0.00001;;
1033.7824;1.8221;0.00005;;
1033.67958;1.82228;0;;
1033.57678;1.82246;0.00007;;
1033.47401;1.82264;0.00001;;
1033.37125;1.82282;0.00007;;
1033.26851;1.823;0.00006;;
1033.1658;1.82318;0.00008;;
1033.0631;1.82337;0.00047;27.0837;33.1237
1032.96043;1.82355;0.00031;24.3946;27.7222
1032.85777;1.82373;0.0011;21.0498;23.0192
1032.75514;1.82391;0.00276;18.5782;18.9404
1032.65253;1.82409;0.0023;15.8107;15.4195
1032.54993;1.82427;0.00495;12.7387;12.3969
1032.44736;1.82445;0.01053;9.99462;9.81955
1032.34481;1.82463;0.03876;7.37251;7.63958
1032.24228;1.82482;0.14329;5.42261;5.81415
1032.13977;1.825;0.29808;3.97292;4.30458
1032.03728;1.82518;0.39972;2.92752;3.07589
1031.9348;1.82536;0.48551;2.19753;2.09624
1031.83235;1.82554;0.65029;1.58487;1.33653
1031.72992;1.82572;0.73218;1.01382;0.76997
1031.62751;1.8259;0.82273;0.61173;0.37172
1031.52512;1.82608;0.8503;0.25883;0.11862
1031.42276;1.82627;0.92996;0.07283;-0.01108
1031.32041;1.82645;0.83077;-0.05217;-0.03793
1031.21808;1.82663;0.82842;0;0.01859
1031.11577;1.82681;0.57192;0;0.13998
1031.01348;1.82699;0.77559;0.03257;0.30861
1030.91121;1.82717;0.69917;0.29008;0.50781
1030.80897;1.82735;0.72571;0.33391;0.72181
1030.70674;1.82753;1;0.66845;0.93595
1030.60453;1.82772;0.83423;1.17519;1.13672
1030.50235;1.8279;0.44862;1.69993;1.31202
1030.40018;1.82808;0.13566;2.1981;1.45136
1030.29803;1.82826;0.01674;2.1311;1.54621
1030.19591;1.82844;0.01683;1.34302;1.59023
1030.0938;1.82862;0.02238;1.2902;1.57977
1029.99172;1.8288;0.02242;1.23867;1.51422
1029.88965;1.82898;0.02346;1.15388;1.39651
1029.78761;1.82917;0.02096;1.14046;1.23365
1029.68558;1.82935;0.01524;1.06819;1.03726
1029.58358;1.82953;0.01333;0.86266;0.82425
1029.4816;1.82971;0.01238;0.71096;0.61741
1029.37963;1.82989;0.0104;0.58836;0.44617
1029.27769;1.83007;0.00736;0.43138;0.34732
1029.17576;1.83025;0.00412;0.22398;0.36584
1029.07386;1.83043;0.00185;0.00224;0.5557
1028.97198;1.83062;0.00064;-0.25006;0.9808
1028.87012;1.8308;0.00019;-0.39468;1.71586
1028.76827;1.83098;0.00008;;
1028.66645;1.83116;0.00006;;
1028.56465;1.83134;0.00003;;
1028.46286;1.83152;0.00001;;
1028.3611;1.8317;0;;
1028.25936;1.83188;0;;
1028.15764;1.83206;0;;
1028.05594;1.83225;0;;
1027.95425;1.83243;0;;
1027.85259;1.83261;0;;
1027.75095;1.83279;0;;
1027.64933;1.83297;0;;
1027.54773;1.83315;0;;
1027.44615;1.83333;0;;
1027.34459;1.83351;0;;
1027.24305;1.8337;0;;
1027.14152;1.83388;0;;
1027.04002;1.83406;0;;
1026.93854;1.83424;0;;
1026.83708;1.83442;0;;
1026.73564;1.8346;0;;
1026.63422;1.83478;0;;
1026.53282;1.83496;0;;
1026.43144;1.83515;0;;
1026.33008;1.83533;0;;
1026.22874;1.83551;0;;
1026.12742;1.83569;0;;
1026.02612;1.83587;0;;
1025.92484;1.83605;0;;
1025.82358;1.83623;0;;
1025.72233;1.83641;0;;
1025.62111;1.8366;0;;
1025.51991;1.83678;0;;
1025.41873;1.83696;0;;
1025.31757;1.83714;0;;
1025.21643;1.83732;0;;
1025.11531;1.8375;0;;
1025.01421;1.83768;0;;
1024.91313;1.83786;0;;
1024.81207;1.83805;0;;
