Time (fs);Temporal profile (arb. u.);FTL temporal profile (arb. u.);Temporal phase (rad)
-17333.925;0.00294;0.00162;-19.0113
-17060.9498;0.00253;0.00198;-17.5912
-16787.97461;0.01678;0.00245;-16.7442
-16514.99941;0.05538;0.00209;-16.4577
-16242.02421;0.10553;0.00098;-16.2909
-15969.04902;0.13515;0.00034;-16.1707
-15696.07382;0.12396;0.00105;-16.0712
-15423.09862;0.08265;0.00256;-15.9841
-15150.12343;0.03817;0.00358;-15.9047
-14877.14823;0.01043;0.00349;-15.8412
-14604.17303;0.00084;0.0026;-15.9112
-14331.19783;0.00021;0.00165;-18.3117
-14058.22264;0.00046;0.00107;-18.504
-13785.24744;0.00008;0.00081;-19.2477
-13512.27224;0.00054;0.00068;-20.491
-13239.29705;0.00151;0.00057;-20.3148
-12966.32185;0.00173;0.00048;-19.8843
-12693.34665;0.00122;0.00039;-19.2779
-12420.37146;0.00065;0.00032;-18.5245
-12147.39626;0.00025;0.00035;-17.7671
-11874.42106;0.00001;0.00053;-16.8915
-11601.44587;0.00011;0.00098;-13.6704
-11328.47067;0.00031;0.00184;-13.1364
-11055.49547;0.00027;0.00318;-12.6392
-10782.52028;0.00008;0.00493;-12.0255
-10509.54508;0.00001;0.00701;-10.2192
-10236.56988;0.00007;0.00948;-9.1534
-9963.59469;0.00011;0.01223;-8.98897
-9690.61949;0.00015;0.01448;-9.08396
-9417.64429;0.00021;0.01523;-9.07502
-9144.66909;0.00023;0.01401;-8.79799
-8871.6939;0.00023;0.01122;-8.15376
-8598.7187;0.00042;0.00781;-7.40367
-8325.7435;0.00102;0.00471;-6.94298
-8052.76831;0.00201;0.00256;-6.67739
-7779.79311;0.00308;0.0014;-6.50014
-7506.81791;0.00371;0.00089;-6.36483
-7233.84272;0.00364;0.00071;-6.23204
-6960.86752;0.00305;0.00068;-6.05184
-6687.89232;0.00252;0.00069;-5.77928
-6414.91713;0.003;0.00065;-5.42724
-6141.94193;0.00633;0.00055;-5.09866
-5868.96673;0.01688;0.0005;-4.82332
-5595.99154;0.04041;0.00053;-4.5591
-5323.01634;0.07821;0.0007;-4.28315
-5050.04114;0.12412;0.00108;-3.98094
-4777.06594;0.17009;0.00161;-3.64153
-4504.09075;0.21293;0.00207;-3.2642
-4231.11555;0.25432;0.00231;-2.868
-3958.14035;0.29711;0.00231;-2.48088
-3685.16516;0.34171;0.00224;-2.1262
-3412.18996;0.38931;0.00216;-1.81093
-3139.21476;0.44237;0.00202;-1.53267
-2866.23957;0.50583;0.00163;-1.28528
-2593.26437;0.5796;0.00115;-1.06394
-2320.28917;0.65907;0.00159;-0.8654
-2047.31398;0.73318;0.00457;-0.68709
-1774.33878;0.80232;0.01139;-0.52312
-1501.36358;0.87368;0.02337;-0.37314
-1228.38839;0.94658;0.04576;-0.24399
-955.41319;0.99668;0.10109;-0.14485
-682.43799;1;0.24326;-0.07571
-409.4628;0.94543;0.51809;-0.03335
-136.4876;0.83588;0.84478;-0.01186
136.4876;0.68288;1;-0.00496
409.4628;0.49436;0.84478;0
682.43799;0.2921;0.51809;0
955.41319;0.1265;0.24326;-0.05827
1228.38839;0.04338;0.10109;-0.34375
1501.36358;0.02644;0.04576;-0.81878
1774.33878;0.02095;0.02337;-0.89708
2047.31398;0.0069;0.01139;-0.68759
